-80.0	-180.0	-10374.320170800995	-7857.225108066318	
-79.0	-180.0	-10526.011129556793	-7759.009794215489	
-78.0	-180.0	-10677.188323597657	-7660.79448036466	
-77.0	-180.0	-10827.80570288579	-7562.579166513831	
-76.0	-180.0	-10977.817387908402	-7464.363852663002	
-75.0	-180.0	-11127.17768365304	-7366.148538812174	
-74.0	-180.0	-11275.841093526733	-7267.933224961344	
-73.0	-180.0	-11423.762333214701	-7169.717911110516	
-72.0	-180.0	-11570.896344474386	-7071.502597259685	
-71.0	-180.0	-11717.198308860641	-6973.287283408857	
-70.0	-180.0	-11862.623661377856	-6875.071969558027	
-69.0	-180.0	-12007.128104054882	-6776.856655707199	
-68.0	-180.0	-12150.66761943864	-6678.641341856372	
-67.0	-180.0	-12293.198484002241	-6580.426028005542	
-66.0	-180.0	-12434.677281463617	-6482.210714154712	
-65.0	-180.0	-12575.06091601052	-6383.995400303883	
-64.0	-180.0	-12714.306625427944	-6285.7800864530545	
-63.0	-180.0	-12852.37199412389	-6187.564772602225	
-62.0	-180.0	-12989.214966049596	-6089.349458751396	
-61.0	-180.0	-13124.79385751018	-5991.134144900567	
-60.0	-180.0	-13259.06736986191	-5892.918831049738	
-59.0	-180.0	-13391.994602092203	-5794.70351719891	
-58.0	-180.0	-13523.53506327842	-5696.488203348081	
-57.0	-180.0	-13653.648684921822	-5598.272889497252	
-56.0	-180.0	-13782.295833152823	-5500.057575646422	
-55.0	-180.0	-13909.43732080383	-5401.842261795594	
-54.0	-180.0	-14035.034419346064	-5303.626947944765	
-53.0	-180.0	-14159.048870686618	-5205.411634093935	
-52.0	-180.0	-14281.44289882226	-5107.196320243107	
-51.0	-180.0	-14402.179221346365	-5008.981006392278	
-50.0	-180.0	-14521.221060805492	-4910.7656925414485	
-49.0	-180.0	-14638.532155902156	-4812.550378690619	
-48.0	-180.0	-14754.076772540375	-4714.335064839791	
-47.0	-180.0	-14867.819714710613	-4616.119750988962	
-46.0	-180.0	-14979.726335210835	-4517.904437138133	
-45.0	-180.0	-15089.762546200365	-4419.689123287304	
-44.0	-180.0	-15197.894829583402	-4321.473809436475	
-43.0	-180.0	-15304.09024721892	-4223.258495585646	
-42.0	-180.0	-15408.316450953971	-4125.043181734817	
-41.0	-180.0	-15510.541692477234	-4026.827867883988	
-40.0	-180.0	-15610.73483298986	-3928.612554033159	
-39.0	-180.0	-15708.865352690664	-3830.39724018233	
-38.0	-180.0	-15804.903360072729	-3732.181926331501	
-37.0	-180.0	-15898.819601028667	-3633.966612480672	
-36.0	-180.0	-15990.58546776169	-3535.7512986298425	
-35.0	-180.0	-16080.173007499843	-3437.5359847790137	
-34.0	-180.0	-16167.554931010662	-3339.320670928186	
-33.0	-180.0	-16252.70462091376	-3241.105357077356	
-32.0	-180.0	-16335.596139788731	-3142.8900432265273	
-31.0	-180.0	-16416.204238075934	-3044.674729375698	
-30.0	-180.0	-16494.504361767766	-2946.459415524869	
-29.0	-180.0	-16570.472659888037	-2848.2441016740404	
-28.0	-180.0	-16644.08599175722	-2750.028787823211	
-27.0	-180.0	-16715.321934041316	-2651.8134739723823	
-26.0	-180.0	-16784.158787582237	-2553.5981601215535	
-25.0	-180.0	-16850.575584007544	-2455.3828462707243	
-24.0	-180.0	-16914.552092117658	-2357.1675324198955	
-23.0	-180.0	-16976.068824048456	-2258.9522185690666	
-22.0	-180.0	-17035.107041207462	-2160.7369047182374	
-21.0	-180.0	-17091.648759981814	-2062.5215908674086	
-20.0	-180.0	-17145.676757216246	-1964.3062770165795	
-19.0	-180.0	-17197.174575459416	-1866.0909631657505	
-18.0	-180.0	-17246.12652797702	-1767.8756493149212	
-17.0	-180.0	-17292.517703530102	-1669.660335464093	
-16.0	-180.0	-17336.333970917196	-1571.4450216132636	
-15.0	-180.0	-17377.5619832788	-1473.2297077624346	
-14.0	-180.0	-17416.18918216296	-1375.0143939116056	
-13.0	-180.0	-17452.203801350708	-1276.7990800607768	
-12.0	-180.0	-17485.594870440153	-1178.5837662099477	
-11.0	-180.0	-17516.35221818819	-1080.3684523591187	
-10.0	-180.0	-17544.46647560874	-982.1531385082898	
-9.0	-180.0	-17569.92907882664	-883.9378246574606	
-8.0	-180.0	-17592.732271686295	-785.7225108066318	
-7.0	-180.0	-17612.869108114253	-687.5071969558028	
-6.0	-180.0	-17630.333454235068	-589.2918831049739	
-5.0	-180.0	-17645.119990239742	-491.0765692541449	
-4.0	-180.0	-17657.224212006156	-392.8612554033159	
-3.0	-180.0	-17666.642432471108	-294.64594155248693	
-2.0	-180.0	-17673.37178275341	-196.43062770165795	
-1.0	-180.0	-17677.41021302777	-98.21531385082898	
0.0	-180.0	-17678.756493149216	0.0	
1.0	-180.0	-17677.41021302777	98.21531385082898	
2.0	-180.0	-17673.37178275341	196.43062770165795	
3.0	-180.0	-17666.642432471108	294.64594155248693	
4.0	-180.0	-17657.224212006156	392.8612554033159	
5.0	-180.0	-17645.119990239742	491.0765692541449	
6.0	-180.0	-17630.333454235068	589.2918831049739	
7.0	-180.0	-17612.869108114253	687.5071969558028	
8.0	-180.0	-17592.732271686295	785.7225108066318	
9.0	-180.0	-17569.92907882664	883.9378246574606	
10.0	-180.0	-17544.46647560874	982.1531385082898	
11.0	-180.0	-17516.35221818819	1080.3684523591187	
12.0	-180.0	-17485.594870440153	1178.5837662099477	
13.0	-180.0	-17452.203801350708	1276.7990800607768	
14.0	-180.0	-17416.18918216296	1375.0143939116056	
15.0	-180.0	-17377.5619832788	1473.2297077624346	
