4069.30	-1002.17
4178.12	-1013.30
4184.33	-1057.84
4454.23	-1002.17
4725.20	-1035.57
4825.38	-556.76
4829.73	-222.70
5009.12	-167.03
5118.75	-233.84
5324.56	-556.76
5456.25	0.00
5675.49	222.70
5887.28	445.41
5990.13	556.76
6009.62	890.82
6299.75	779.46
6339.76	1224.87
6001.41	1280.55
6048.96	1002.17
5881.61	1336.22
5942.44	1558.93
5859.27	1636.87
5824.61	2004.34
5685.41	2115.69
5781.65	2449.74
5884.90	2449.74
5893.75	2561.10
5696.61	2672.45
5900.06	2672.45
5955.25	2561.10
6056.43	2538.83
6029.45	2338.39
6278.20	2227.04
6369.77	2115.69
6126.99	2616.77
6297.87	2449.74
6513.49	2427.47
6660.67	2783.80
6765.00	2561.10
6487.47	2227.04
6460.03	2004.34
6399.77	2026.61
6317.12	2115.69
6122.97	1892.98
5963.24	1892.98
5967.39	1447.58
6558.37	1224.87
6395.56	890.82
6541.68	590.17
6877.55	556.76
7018.26	1113.52
7160.87	1447.58
7324.57	2227.04
7165.26	2783.80
6369.73	3785.97
5630.57	4565.43
5629.84	4454.08
5624.89	4342.73
6256.97	3674.62
5837.71	3897.32
5544.54	4454.08
5374.89	4788.14
5446.80	4899.49
5182.56	5122.19
5105.21	5122.19
4343.08	6124.36
3897.32	6681.12
3125.07	7349.23
2673.63	7683.29
3170.37	7349.23
2780.18	7794.64
2344.04	8128.70
2213.82	8128.70
2513.59	7794.64
2593.82	7683.29
2573.87	7683.29
2475.50	7794.64
2087.11	8240.05
2172.30	8295.72
1411.53	8908.16
963.50	9242.22
1430.87	8908.16
727.87	9464.92
295.35	9798.98
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
*	*
89.38	9798.98
122.38	9687.62
155.35	9576.27
184.39	9464.92
244.27	9242.22
309.38	8908.16
270.71	8908.16
243.51	8852.48
199.10	8874.75
200.39	8574.10
269.38	8462.75
345.84	8351.40
460.39	8240.05
651.12	8128.70
765.07	8128.70
722.60	8017.34
743.18	7905.99
799.78	7794.64
877.91	7683.29
980.26	7571.94
1132.27	7349.23
1306.92	6903.82
1576.81	6347.06
1681.22	6235.71
1660.59	6124.36
1919.54	5790.30
2147.27	5567.60
2235.27	5344.90
1860.97	5567.60
1645.32	5790.30
1596.72	6124.36
1618.95	6235.71
1556.68	6235.71
1252.71	6681.12
1180.15	6458.42
1085.77	6124.36
1096.88	5790.30
1073.64	5567.60
1023.59	5010.84
1041.30	4899.49
1221.57	4788.14
1706.01	4454.08
2076.88	4342.73
2223.24	4120.02
2599.61	3897.32
2832.96	3563.26
2280.36	3897.32
1778.59	4120.02
1514.39	4342.73
1279.51	4454.08
1017.97	4788.14
787.38	5010.84
831.82	5734.63
700.76	5678.95
644.18	5567.60
303.77	5233.54
160.20	4899.49
8.28	4676.78
-341.20	4454.08
-526.48	4231.38
-853.01	4454.08
-1176.54	4565.43
-1364.81	4454.08
-1846.30	3785.97
-2006.71	3897.32
